Exchange	Symbol	Name	Industry	Sector	Cap, mln	Last	Change	Change, %	Volume
BSE	SPICEJET.BO	SpiceJet Limited	Air Services, Other	Services		65.75	0.25	0.4	2,770,000
BSE	UNITECH.BO	Unitech Ltd.	Real Estate Development	Financial		4.54	0.08	1.8	2,750,000
BSE	RCOM.BO	Reliance Communications Ltd.	Wireless Communications	Technology		31.60	0.20	0.6	2,000,000
BSE	DLF.BO	DLF Limited	Real Estate Development	Financial		129.60	5.50	4.4	1,750,000
ASX	AGO.AX	Atlas Iron Limited	Steel & Iron	Basic Materials	265	0.045	0.002	4.7	270,270,000
ASX	IOT.AX	Iot Group Limited	Electronic Equipment	Consumer Goods	16	0.036	0.006	20.0	31,510,000
ASX	ICG.AX	Inca Minerals Limited	Industrial Metals & Minerals	Basic Materials	37	0.018	0.001	5.9	30,140,000
ASX	DUE.AX	DUET Group	Gas Utilities	Utilities	6,861	2.93	0.15	5.4	30,060,000
ASX	EYM.AX	Elysium Resources Limited	Industrial Metals & Minerals	Basic Materials	5	0.01	-0.001	-9.1	27,540,000
ASX	RNI.AX	Resource and Investment NL	Industrial Metals & Minerals	Basic Materials	18	0.016	0.001	6.7	27,010,000
ASX	STA.AX	Strandline Resources Limited	Integrated Mining	Basic Materials	18	0.008	0.001	14.3	22,080,000
ASX	LYC.AX	Lynas Corporation Limited	Industrial Metals & Minerals	Basic Materials	246	0.08	-0.002	-2.4	21,130,000
ASX	MZN.AX	Marindi Metals Limited	Specialty Mining & Metals	Basic Materials	24	0.03	0.001	3.4	19,430,000
ASX	GXY.AX	Galaxy Resources	Industrial Metals & Minerals	Basic Materials	916	0.67	0.01	1.5	17,910,000
LSE	KOD.L	Kodal Minerals Plc			4	0.359	0.019	5.6	495,320,000
LSE	GUN.L	Gunsynd Plc	Biotechnology	Healthcare	1	0.045	0.0025	5.9	386,700,000
LSE	XTR.L	Xtract Energy Plc			4	0.015	-0.0025	-14.3	305,480,000
LSE	LGO.L	Leni Gas & Oil PLC	Oil & Gas Drilling & Exploration	Basic Materials	10	0.146	0.011	8.1	294,820,000
LSE	EDL.L	Edenville Energy PLC	Coal	Basic Materials	3	0.86	0.105	13.9	106,080,000
LSE	ADL.L	Andalas Energy and Power Plc	Closed End Funds	Financial	2	0.123	0.015	13.9	91,010,000
LSE	BLU.L	Blue Star Capital PLC	Investment Trusts	Financial	1	0.15	-0.015	-9.1	69,780,000
LSE	MYN.L	Mayan Energy Limited			4	0.011	-0.0002	-1.9	61,980,000
LSE	LLOY.L	Lloyds Banking Group PLC	Money Center Banks	Financial	47,135	65.02	-1.02	-1.5	60,690,000
LSE	SOLO.L	Solo Oil PLC	Oil & Gas Drilling & Exploration	Basic Materials	19	0.404	0.029	7.7	58,540,000
