Date,Open,High,Low,Close,Volume
30-Dec-16,0.29,0.29,0.27,0.28,0
29-Dec-16,0.29,0.30,0.26,0.28,0
28-Dec-16,0.28,0.29,0.27,0.29,0
23-Dec-16,0.27,0.28,0.26,0.28,0
22-Dec-16,0.28,0.29,0.26,0.28,0
21-Dec-16,0.26,0.29,0.25,0.28,0
20-Dec-16,0.27,0.28,0.25,0.26,0
19-Dec-16,0.32,0.32,0.26,0.27,0
16-Dec-16,0.28,0.29,0.26,0.28,0
15-Dec-16,0.28,0.29,0.27,0.27,0
14-Dec-16,0.28,0.29,0.27,0.28,0
13-Dec-16,0.30,0.31,0.28,0.30,0
12-Dec-16,0.29,0.32,0.27,0.30,0
9-Dec-16,0.29,0.29,0.26,0.29,0
8-Dec-16,0.27,0.30,0.26,0.28,0
7-Dec-16,0.26,0.29,0.25,0.27,0
6-Dec-16,0.26,0.27,0.24,0.25,0
5-Dec-16,0.30,0.32,0.25,0.26,0
2-Dec-16,0.26,0.27,0.24,0.26,0
1-Dec-16,0.27,0.29,0.26,0.26,0
30-Nov-16,0.29,0.30,0.25,0.26,0
29-Nov-16,0.29,0.32,0.25,0.27,0
28-Nov-16,0.28,0.30,0.26,0.28,0
25-Nov-16,0.27,0.30,0.24,0.28,0
24-Nov-16,0.27,0.27,0.24,0.26,0
23-Nov-16,0.25,0.28,0.24,0.28,0
22-Nov-16,0.22,0.29,0.21,0.27,0
21-Nov-16,0.22,0.23,0.21,0.21,0
18-Nov-16,0.22,0.23,0.22,0.22,0
17-Nov-16,0.22,0.23,0.22,0.22,0
16-Nov-16,0.23,0.23,0.22,0.22,0
15-Nov-16,0.23,0.24,0.22,0.23,0
14-Nov-16,0.22,0.24,0.22,0.22,0
11-Nov-16,0.22,0.23,0.22,0.22,0
10-Nov-16,0.22,0.23,0.22,0.22,0
9-Nov-16,0.22,0.24,0.20,0.22,0
8-Nov-16,0.22,0.22,0.21,0.22,0
7-Nov-16,0.22,0.23,0.21,0.22,0
4-Nov-16,0.22,0.25,0.22,0.22,0
3-Nov-16,0.23,0.25,0.22,0.22,0
2-Nov-16,0.22,0.24,0.21,0.22,0
1-Nov-16,0.22,0.22,0.21,0.22,0
31-Oct-16,0.23,0.23,0.21,0.22,0
28-Oct-16,0.22,0.24,0.21,0.22,0
27-Oct-16,0.22,0.25,0.21,0.22,0
26-Oct-16,0.22,0.23,0.21,0.23,0
25-Oct-16,0.21,0.23,0.21,0.22,0
24-Oct-16,0.22,0.22,0.21,0.21,0
21-Oct-16,0.22,0.23,0.22,0.23,0
20-Oct-16,0.23,0.23,0.22,0.22,0
19-Oct-16,0.23,0.24,0.23,0.23,0
18-Oct-16,0.23,0.24,0.22,0.23,0
17-Oct-16,0.25,0.25,0.22,0.23,0
14-Oct-16,0.23,0.24,0.22,0.23,0
13-Oct-16,0.23,0.24,0.22,0.23,0
12-Oct-16,0.23,0.25,0.22,0.22,0
11-Oct-16,0.22,0.24,0.22,0.24,0
10-Oct-16,0.24,0.24,0.22,0.24,0
7-Oct-16,0.25,0.25,0.23,0.24,0
6-Oct-16,0.23,0.25,0.23,0.24,0
5-Oct-16,0.24,0.25,0.23,0.23,0
4-Oct-16,0.23,0.25,0.22,0.23,0
3-Oct-16,0.24,0.24,0.22,0.24,0
30-Sep-16,0.24,0.25,0.23,0.23,0
29-Sep-16,0.24,0.25,0.23,0.24,0
28-Sep-16,0.24,0.25,0.24,0.24,0
27-Sep-16,0.26,0.26,0.24,0.24,0
26-Sep-16,0.25,0.27,0.23,0.24,0
23-Sep-16,0.28,0.28,0.21,0.23,0
22-Sep-16,0.23,0.24,0.22,0.23,0
21-Sep-16,0.24,0.24,0.22,0.22,0
20-Sep-16,0.24,0.24,0.23,0.23,0
19-Sep-16,0.22,0.25,0.22,0.24,0
16-Sep-16,0.24,0.25,0.22,0.24,0
15-Sep-16,0.26,0.26,0.23,0.24,0
14-Sep-16,0.26,0.26,0.25,0.25,0
13-Sep-16,0.26,0.27,0.25,0.26,0
12-Sep-16,0.25,0.27,0.25,0.26,0
9-Sep-16,0.27,0.27,0.25,0.25,0
8-Sep-16,0.26,0.27,0.24,0.26,0
7-Sep-16,0.27,0.28,0.26,0.27,0
6-Sep-16,0.29,0.29,0.27,0.27,0
5-Sep-16,0.27,0.29,0.27,0.27,0
2-Sep-16,0.28,0.29,0.27,0.28,0
1-Sep-16,0.28,0.29,0.27,0.28,0
31-Aug-16,0.26,0.28,0.26,0.28,0
30-Aug-16,0.28,0.29,0.26,0.28,0
26-Aug-16,0.30,0.30,0.28,0.29,0
25-Aug-16,0.30,0.32,0.28,0.30,0
24-Aug-16,0.30,0.31,0.28,0.30,0
23-Aug-16,0.28,0.30,0.27,0.28,0
22-Aug-16,0.27,0.30,0.26,0.28,0
19-Aug-16,0.27,0.30,0.26,0.26,0
18-Aug-16,0.25,0.27,0.24,0.26,0
17-Aug-16,0.25,0.25,0.23,0.25,0
16-Aug-16,0.25,0.25,0.24,0.24,0
15-Aug-16,0.23,0.25,0.23,0.24,0
12-Aug-16,0.24,0.25,0.23,0.24,0
11-Aug-16,0.23,0.24,0.23,0.24,0
10-Aug-16,0.24,0.26,0.23,0.24,0
9-Aug-16,0.26,0.26,0.24,0.25,0
8-Aug-16,0.24,0.26,0.24,0.24,0
5-Aug-16,0.26,0.26,0.24,0.25,0
4-Aug-16,0.24,0.26,0.23,0.26,0
3-Aug-16,0.24,0.25,0.23,0.24,0
2-Aug-16,0.24,0.26,0.23,0.25,0
1-Aug-16,0.28,0.28,0.24,0.24,0
29-Jul-16,0.25,0.25,0.24,0.24,0
28-Jul-16,0.24,0.26,0.23,0.24,0
27-Jul-16,0.24,0.26,0.24,0.24,0
26-Jul-16,0.24,0.25,0.24,0.24,0
25-Jul-16,0.25,0.25,0.23,0.24,0
22-Jul-16,0.25,0.25,0.24,0.25,0
21-Jul-16,0.25,0.25,0.24,0.24,0
20-Jul-16,0.25,0.25,0.24,0.25,0
19-Jul-16,0.28,0.28,0.24,0.24,0
18-Jul-16,0.26,0.26,0.24,0.24,0
15-Jul-16,0.26,0.26,0.23,0.24,0
14-Jul-16,0.26,0.26,0.23,0.23,0
13-Jul-16,0.26,0.28,0.23,0.26,0
12-Jul-16,0.24,0.26,0.21,0.26,0
11-Jul-16,0.27,0.28,0.23,0.25,0
8-Jul-16,0.25,0.26,0.23,0.25,0
7-Jul-16,0.24,0.25,0.22,0.24,0
6-Jul-16,0.25,0.25,0.22,0.24,0
5-Jul-16,0.24,0.27,0.23,0.23,0
4-Jul-16,0.28,0.30,0.23,0.23,0
1-Jul-16,0.23,0.24,0.23,0.23,0
30-Jun-16,0.23,0.25,0.23,0.23,0
29-Jun-16,0.22,0.24,0.22,0.23,0
28-Jun-16,0.23,0.24,0.22,0.22,0
27-Jun-16,0.24,0.26,0.23,0.24,0
24-Jun-16,0.21,0.26,0.19,0.25,0
23-Jun-16,0.24,0.25,0.23,0.23,0
22-Jun-16,0.23,0.24,0.23,0.24,0
21-Jun-16,0.25,0.25,0.23,0.23,0
20-Jun-16,0.24,0.26,0.23,0.24,0
17-Jun-16,0.23,0.24,0.23,0.24,0
16-Jun-16,0.23,0.25,0.22,0.22,0
15-Jun-16,0.23,0.28,0.23,0.23,0
14-Jun-16,0.22,0.24,0.21,0.23,0
13-Jun-16,0.24,0.25,0.22,0.24,0
10-Jun-16,0.25,0.25,0.23,0.24,0
9-Jun-16,0.27,0.27,0.24,0.26,0
8-Jun-16,0.27,0.27,0.26,0.26,0
7-Jun-16,0.28,0.28,0.27,0.27,0
6-Jun-16,0.28,0.31,0.27,0.27,0
3-Jun-16,0.28,0.28,0.27,0.28,0
2-Jun-16,0.28,0.28,0.27,0.28,0
1-Jun-16,0.28,0.28,0.27,0.28,0
31-May-16,0.28,0.28,0.26,0.27,0
27-May-16,0.26,0.28,0.26,0.27,0
26-May-16,0.27,0.27,0.26,0.26,0
25-May-16,0.26,0.30,0.26,0.26,0
24-May-16,0.27,0.27,0.26,0.26,0
23-May-16,0.25,0.27,0.25,0.26,0
20-May-16,0.25,0.27,0.25,0.27,0
19-May-16,0.24,0.26,0.24,0.25,0
18-May-16,0.25,0.25,0.24,0.25,0
17-May-16,0.24,0.26,0.24,0.25,0
16-May-16,0.24,0.25,0.24,0.24,0
13-May-16,0.25,0.25,0.24,0.24,0
12-May-16,0.24,0.25,0.24,0.24,0
11-May-16,0.25,0.25,0.24,0.24,0
10-May-16,0.25,0.25,0.24,0.25,0
9-May-16,0.26,0.26,0.24,0.25,0
6-May-16,0.26,0.26,0.25,0.25,0
5-May-16,0.27,0.27,0.25,0.26,0
4-May-16,0.27,0.27,0.25,0.26,0
3-May-16,0.26,0.27,0.24,0.27,0
29-Apr-16,0.25,0.26,0.24,0.25,0
28-Apr-16,0.26,0.27,0.25,0.25,0
27-Apr-16,0.26,0.27,0.25,0.26,0
26-Apr-16,0.26,0.26,0.25,0.26,0
25-Apr-16,0.26,0.26,0.25,0.26,0
22-Apr-16,0.27,0.27,0.25,0.26,0
21-Apr-16,0.26,0.27,0.26,0.26,0
20-Apr-16,0.26,0.27,0.26,0.26,0
19-Apr-16,0.27,0.27,0.25,0.26,0
18-Apr-16,0.27,0.29,0.26,0.26,0
15-Apr-16,0.26,0.29,0.26,0.28,0
14-Apr-16,0.27,0.27,0.25,0.27,0
13-Apr-16,0.27,0.27,0.25,0.26,0
12-Apr-16,0.27,0.27,0.26,0.27,0
11-Apr-16,0.27,0.29,0.26,0.26,0
8-Apr-16,0.29,0.29,0.26,0.26,0
7-Apr-16,0.27,0.30,0.27,0.28,0
6-Apr-16,0.34,0.40,0.33,0.35,0
5-Apr-16,0.29,0.30,0.27,0.30,0
4-Apr-16,0.33,0.33,0.27,0.28,0
1-Apr-16,0.29,0.31,0.29,0.30,0
31-Mar-16,0.29,0.30,0.28,0.29,0
30-Mar-16,0.29,0.30,0.28,0.29,0
29-Mar-16,0.31,0.31,0.29,0.30,0
24-Mar-16,0.32,0.32,0.30,0.31,0
23-Mar-16,0.32,0.33,0.31,0.32,0
22-Mar-16,0.32,0.34,0.32,0.32,0
21-Mar-16,0.36,0.36,0.32,0.34,0
18-Mar-16,0.33,0.35,0.32,0.34,0
17-Mar-16,0.32,0.34,0.32,0.34,0
16-Mar-16,0.34,0.36,0.31,0.33,0
15-Mar-16,0.38,0.38,0.33,0.36,0
14-Mar-16,0.35,0.37,0.33,0.34,0
11-Mar-16,0.35,0.38,0.35,0.35,0
10-Mar-16,0.39,0.39,0.35,0.38,0
9-Mar-16,0.41,0.42,0.37,0.40,0
8-Mar-16,0.42,0.42,0.40,0.41,0
7-Mar-16,0.41,0.43,0.41,0.41,0
