Date,Open,High,Low,Close,Volume
30-Dec-16,0.28,0.30,0.25,0.28,1017922
29-Dec-16,0.24,0.32,0.23,0.29,3683328
28-Dec-16,0.25,0.25,0.24,0.24,215415
27-Dec-16,0.26,0.27,0.23,0.24,369938
23-Dec-16,0.26,0.27,0.24,0.25,369138
22-Dec-16,0.25,0.31,0.25,0.27,1745040
21-Dec-16,0.23,0.27,0.23,0.24,375092
20-Dec-16,0.25,0.27,0.23,0.25,310359
19-Dec-16,0.27,0.27,0.23,0.26,919918
16-Dec-16,0.31,0.31,0.27,0.28,809203
15-Dec-16,0.33,0.37,0.31,0.31,531741
14-Dec-16,0.34,0.39,0.30,0.32,1085098
13-Dec-16,0.33,0.39,0.29,0.34,2032417
12-Dec-16,0.27,0.56,0.27,0.37,11989176
9-Dec-16,0.40,0.40,0.25,0.26,3588528
8-Dec-16,0.25,0.40,0.22,0.36,4490854
7-Dec-16,0.22,0.28,0.21,0.24,769237
6-Dec-16,0.26,0.26,0.21,0.21,249644
5-Dec-16,0.21,0.30,0.21,0.24,846604
2-Dec-16,0.22,0.23,0.20,0.20,63033
1-Dec-16,0.20,0.22,0.20,0.22,60586
30-Nov-16,0.23,0.23,0.19,0.21,293202
29-Nov-16,0.24,0.25,0.20,0.23,123122
28-Nov-16,0.24,0.25,0.24,0.24,130815
25-Nov-16,0.27,0.27,0.19,0.24,299734
23-Nov-16,0.16,0.29,0.16,0.27,1968380
22-Nov-16,0.17,0.17,0.16,0.16,179259
21-Nov-16,0.17,0.18,0.16,0.16,241548
18-Nov-16,0.18,0.18,0.16,0.17,20834
17-Nov-16,0.19,0.20,0.16,0.17,100044
16-Nov-16,0.19,0.20,0.18,0.18,75063
15-Nov-16,0.18,0.20,0.18,0.18,89624
14-Nov-16,0.20,0.20,0.18,0.18,19031
11-Nov-16,0.21,0.21,0.18,0.19,65927
10-Nov-16,0.21,0.21,0.18,0.20,59623
9-Nov-16,0.21,0.21,0.20,0.21,13009
8-Nov-16,0.22,0.22,0.15,0.20,59354
7-Nov-16,0.22,0.22,0.22,0.22,46250
4-Nov-16,0.22,0.24,0.22,0.22,20591
3-Nov-16,0.22,0.22,0.22,0.22,39396
2-Nov-16,0.22,0.22,0.21,0.22,31004
1-Nov-16,0.21,0.21,0.21,0.21,25143
31-Oct-16,0.22,0.22,0.21,0.22,44998
28-Oct-16,0.22,0.22,0.21,0.21,48815
27-Oct-16,0.19,0.22,0.19,0.21,43434
26-Oct-16,0.23,0.23,0.21,0.22,38639
25-Oct-16,0.21,0.22,0.21,0.22,42288
24-Oct-16,0.20,0.22,0.20,0.22,52444
21-Oct-16,0.21,0.21,0.20,0.20,31992
20-Oct-16,0.20,0.21,0.19,0.20,39717
19-Oct-16,0.21,0.22,0.17,0.20,244600
18-Oct-16,0.22,0.22,0.20,0.21,47982
17-Oct-16,0.22,0.22,0.20,0.20,359399
14-Oct-16,0.23,0.24,0.22,0.22,149959
13-Oct-16,0.28,0.29,0.22,0.24,586688
12-Oct-16,0.25,0.25,0.24,0.25,97320
11-Oct-16,0.25,0.25,0.22,0.24,25717
10-Oct-16,0.25,0.27,0.23,0.25,205301
7-Oct-16,0.25,0.27,0.25,0.26,53958
6-Oct-16,0.26,0.27,0.26,0.26,109922
5-Oct-16,0.25,0.27,0.25,0.27,203366
4-Oct-16,0.28,0.28,0.24,0.24,180557
3-Oct-16,0.27,0.29,0.27,0.28,45924
30-Sep-16,0.29,0.29,0.28,0.28,148694
29-Sep-16,0.30,0.30,0.29,0.29,217612
28-Sep-16,0.31,0.32,0.30,0.30,66498
27-Sep-16,0.31,0.31,0.30,0.30,166892
26-Sep-16,0.32,0.34,0.30,0.31,217116
23-Sep-16,0.30,0.36,0.28,0.33,1288905
22-Sep-16,0.29,0.30,0.28,0.29,103615
21-Sep-16,0.26,0.30,0.26,0.28,180790
20-Sep-16,0.28,0.31,0.28,0.30,135202
19-Sep-16,0.29,0.31,0.28,0.30,132295
16-Sep-16,0.27,0.30,0.27,0.30,199572
15-Sep-16,0.27,0.31,0.27,0.28,195733
14-Sep-16,0.28,0.28,0.26,0.28,139475
13-Sep-16,0.28,0.28,0.25,0.28,256428
12-Sep-16,0.30,0.30,0.26,0.28,121556
9-Sep-16,0.29,0.30,0.27,0.29,187001
8-Sep-16,0.30,0.30,0.29,0.30,32933
7-Sep-16,0.29,0.30,0.28,0.28,217136
6-Sep-16,0.29,0.31,0.29,0.29,124959
2-Sep-16,0.29,0.31,0.29,0.29,178083
1-Sep-16,0.29,0.33,0.29,0.32,107460
31-Aug-16,0.30,0.32,0.28,0.29,248961
30-Aug-16,0.31,0.33,0.30,0.31,243708
29-Aug-16,0.34,0.34,0.30,0.31,228004
26-Aug-16,0.33,0.35,0.32,0.33,101591
25-Aug-16,0.35,0.36,0.34,0.34,87163
24-Aug-16,0.37,0.37,0.35,0.36,25836
23-Aug-16,0.38,0.38,0.35,0.37,127721
22-Aug-16,0.37,0.38,0.36,0.38,53388
19-Aug-16,0.36,0.38,0.36,0.38,44337
18-Aug-16,0.37,0.38,0.35,0.35,97558
17-Aug-16,0.36,0.38,0.36,0.38,20401
16-Aug-16,0.38,0.39,0.33,0.37,290515
15-Aug-16,0.39,0.40,0.30,0.35,284886
12-Aug-16,0.37,0.40,0.36,0.39,176250
11-Aug-16,0.37,0.38,0.36,0.37,70497
10-Aug-16,0.38,0.38,0.36,0.38,174941
9-Aug-16,0.38,0.38,0.36,0.37,118603
8-Aug-16,0.38,0.38,0.35,0.38,136582
5-Aug-16,0.37,0.39,0.35,0.38,74394
4-Aug-16,0.39,0.39,0.35,0.36,98113
3-Aug-16,0.36,0.38,0.34,0.38,183911
2-Aug-16,0.35,0.38,0.34,0.36,158717
1-Aug-16,0.36,0.39,0.35,0.35,133713
29-Jul-16,0.38,0.40,0.36,0.37,111913
28-Jul-16,0.35,0.40,0.35,0.38,280009
27-Jul-16,0.46,0.50,0.34,0.35,1446390
26-Jul-16,0.44,0.47,0.44,0.46,41757
25-Jul-16,0.43,0.46,0.43,0.44,124248
22-Jul-16,0.45,0.46,0.45,0.45,167542
21-Jul-16,0.49,0.49,0.42,0.47,377443
20-Jul-16,0.60,0.62,0.45,0.47,826146
19-Jul-16,0.53,0.55,0.51,0.51,61565
18-Jul-16,0.54,0.54,0.52,0.53,38796
15-Jul-16,0.53,0.55,0.52,0.52,55918
14-Jul-16,0.54,0.55,0.52,0.54,72007
13-Jul-16,0.53,0.55,0.53,0.55,24826
12-Jul-16,0.54,0.55,0.53,0.53,48373
11-Jul-16,0.57,0.57,0.52,0.55,158925
8-Jul-16,0.57,0.58,0.55,0.55,44646
7-Jul-16,0.56,0.58,0.56,0.58,6307
6-Jul-16,0.56,0.58,0.56,0.58,6455
5-Jul-16,0.56,0.58,0.56,0.56,14635
1-Jul-16,0.58,0.58,0.56,0.57,27022
30-Jun-16,0.55,0.58,0.55,0.55,14732
29-Jun-16,0.58,0.58,0.55,0.55,13852
28-Jun-16,0.59,0.59,0.53,0.53,43100
